Date/Time,PM10 TEOM ug/m3,PM2.5 TEOM ug/m3,Temperature Deg C,Barometric Pressure atm
1/07/2013 0:10,11.8,4.3,13.6,1.009
1/07/2013 0:20,13.9,5.1,13.6,1.009
1/07/2013 0:30,17,6.8,13.7,1.009
1/07/2013 0:40,17.4,7.2,13.6,1.009
1/07/2013 0:50,16.4,6.3,13.6,1.009
1/07/2013 1:00,15,5.4,13.5,1.009
1/07/2013 1:10,14.4,5.9,13.4,1.009
1/07/2013 1:20,13.8,6.6,13.2,1.009
1/07/2013 1:30,16,6,13.2,1.009
1/07/2013 1:40,14,5.1,13.1,1.009
1/07/2013 1:50,15.1,5.5,13.2,1.009
1/07/2013 2:00,15.1,6,13.2,1.009
1/07/2013 2:10,14.8,6.5,13.3,1.009
1/07/2013 2:20,15,5.5,13.4,1.009
1/07/2013 2:30,14.8,4.3,13.4,1.009
1/07/2013 2:40,15.3,5.4,13.4,1.009
1/07/2013 2:50,15.1,5.7,13.4,1.009
1/07/2013 3:00,15,5.6,13.4,1.009
1/07/2013 3:10,15.1,5.8,13.4,1.008
1/07/2013 3:20,15.3,6.6,13.3,1.008
1/07/2013 3:30,16.4,6.1,13.3,1.008
1/07/2013 3:40,16.5,6.2,13.3,1.008
1/07/2013 3:50,16.5,7,13.3,1.008
1/07/2013 4:00,17.9,6.1,13.3,1.008
1/07/2013 4:10,15.7,4.6,13.3,1.008
1/07/2013 4:20,16.1,5.5,13.4,1.008
1/07/2013 4:30,15.8,6.1,13.3,1.008
1/07/2013 4:40,17.3,6.8,13.3,1.008
1/07/2013 4:50,17.4,6.5,13.3,1.008
1/07/2013 5:00,17.8,6.7,13.4,1.008
1/07/2013 5:10,19.1,7.2,13.5,1.008
1/07/2013 5:20,21.1,7.4,13.6,1.008
1/07/2013 5:30,20,7.2,13.7,1.008
1/07/2013 5:40,20.1,7.4,13.8,1.008
1/07/2013 5:50,21.2,7.6,14,1.008
1/07/2013 6:00,19.4,7.7,14,1.008
1/07/2013 6:10,20,8.4,13.9,1.008
1/07/2013 6:20,22,8.3,13.9,1.008
1/07/2013 6:30,22.8,8.2,14,1.008
1/07/2013 6:40,21.9,7.9,13.9,1.009
1/07/2013 6:50,22.4,9,13.9,1.009
1/07/2013 7:00,21.6,8.8,13.8,1.009
1/07/2013 7:10,24.2,8.6,13.7,1.009
1/07/2013 7:20,26.2,10,13.6,1.009
1/07/2013 7:30,27.1,9.7,13.4,1.009
1/07/2013 7:40,32.8,11,13.4,1.009
1/07/2013 7:50,35.3,11.9,13.6,1.009
1/07/2013 8:00,35.5,12,13.8,1.009
1/07/2013 8:10,33.2,11.4,14.1,1.009
1/07/2013 8:20,30.1,9.8,14.4,1.009
1/07/2013 8:30,28.6,10.2,14.7,1.009
1/07/2013 8:40,30.5,11,14.8,1.009
1/07/2013 8:50,29.8,9.8,15,1.009
1/07/2013 9:00,28.1,9.4,15.3,1.009
1/07/2013 9:10,24.2,7.6,15.5,1.009
1/07/2013 9:20,22.3,7,15.6,1.009
1/07/2013 9:30,23.9,8.2,15.8,1.009
1/07/2013 9:40,27.8,7.8,15.8,1.009
1/07/2013 9:50,29.3,7.9,15.9,1.009
1/07/2013 10:00,28.2,7.9,15.9,1.009
1/07/2013 10:10,30.2,7.2,16.1,1.009
1/07/2013 10:20,29.6,8.4,16.6,1.009
1/07/2013 10:30,29.5,7.8,17.3,1.009
1/07/2013 10:40,29.8,6.7,16.9,1.009
1/07/2013 10:50,28.6,8.1,16.7,1.009
1/07/2013 11:00,27,6.6,17.2,1.009
1/07/2013 11:10,26.6,6.4,17.3,1.008
1/07/2013 11:20,33.8,7.7,17.5,1.008
1/07/2013 11:30,33.2,8.8,17.7,1.008
1/07/2013 11:40,42.3,8,17.7,1.008
1/07/2013 11:50,39.5,6.9,17.7,1.008
1/07/2013 12:00,30.5,6.2,18,1.007
1/07/2013 12:10,24.9,6.9,18,1.007
1/07/2013 12:20,21.2,5.7,18,1.007
1/07/2013 12:30,21.2,5.4,18,1.007
1/07/2013 12:40,25.5,6.2,18.1,1.007
1/07/2013 12:50,24.2,5.4,18.6,1.007
1/07/2013 13:00,22.5,5.4,18.4,1.006
1/07/2013 13:10,21.6,5.7,18.4,1.006
1/07/2013 13:20,31,6.7,18.4,1.006
1/07/2013 13:30,26,6.2,18.3,1.006
1/07/2013 13:40,20.9,5.1,18.3,1.006
1/07/2013 13:50,20.8,5.3,18.4,1.006
1/07/2013 14:00,19.5,4.3,18.6,1.006
1/07/2013 14:10,21.6,5.9,18.7,1.006
1/07/2013 14:20,25.1,6.6,18.9,1.006
1/07/2013 14:30,22.8,7,18.8,1.006
1/07/2013 14:40,20.2,6.6,18.9,1.006
1/07/2013 14:50,20.4,6.1,18.5,1.006
1/07/2013 15:00,19.6,5.6,17.8,1.006
1/07/2013 15:10,22.8,5.9,17.8,1.006
1/07/2013 15:20,19.9,5,17.9,1.006
1/07/2013 15:30,20.4,5.5,18.4,1.006
1/07/2013 15:40,22.2,6.2,18.5,1.006
1/07/2013 15:50,20.7,6,18.3,1.006
1/07/2013 16:00,18.8,4.5,18.1,1.006
1/07/2013 16:10,16.9,3.9,17.7,1.006
1/07/2013 16:20,16.5,5.9,16.6,1.006
1/07/2013 16:30,15.4,5.7,16.2,1.006
1/07/2013 16:40,15,5.7,15.9,1.006
1/07/2013 16:50,15.4,5.3,15.7,1.006
1/07/2013 17:00,18.1,5.9,15.6,1.006
1/07/2013 17:10,17.6,6.3,15.3,1.006
1/07/2013 17:20,20.5,6.7,15.2,1.007
1/07/2013 17:30,21.5,7.7,14.8,1.007
1/07/2013 17:40,22.5,7.7,14.6,1.007
1/07/2013 17:50,20.5,7.2,14.6,1.007
1/07/2013 18:00,26,7.7,14.4,1.007
1/07/2013 18:10,22,7.3,14.4,1.007
1/07/2013 18:20,20.2,7.9,14.5,1.007
1/07/2013 18:30,18.2,6.7,14.7,1.007
1/07/2013 18:40,16,6.7,14.5,1.007
1/07/2013 18:50,18.7,6.3,14.3,1.007
1/07/2013 19:00,16.2,5.7,14.4,1.007
