"Roadname and Road ID","Unique Asset ID","Park Ref","Easting (Location/Map Coordinates)","Northing (Location/Map Coordinates)","Geometry"
"PARK - LIGHT SQUARE (5304)","PS3","Light Square - Wauwi","280160.063","6132690.632","POINT (15428135.0169738 -4153619.20732845)"
"PARK 27 - BONYTHON PARK  -  TULYA WARDLI (5278)","PS4","Park 27 - Bonython Park - Tulya Wardli","279194.928","6133567.241","POINT (15426985.5514759 -4152518.49918582)"
"PARK 27 - BONYTHON PARK  -  TULYA WARDLI (5278)","PS5","Park 27 - Bonython Park - Tulya Wardli","279160.904","6133560.314","POINT (15426943.9203611 -4152525.96614563)"
"PARK 27 - BONYTHON PARK  -  TULYA WARDLI (5278)","PS6","Park 27 - Bonython Park - Tulya Wardli","279136.561","6133571.494","POINT (15426914.6095101 -4152511.57229206)"
"PARK 27 - BONYTHON PARK  -  TULYA WARDLI (5278)","PS7","Park 27 - Bonython Park - Tulya Wardli","279129.67","6133596.819","POINT (15426906.9643115 -4152480.39345618)"
"PARK 27 - BONYTHON PARK  -  TULYA WARDLI (5278)","PS8","Park 27 - Bonython Park - Tulya Wardli","279163.592","6133597.409","POINT (15426948.284637 -4152480.67445176)"
"PARK 27 - BONYTHON PARK  -  TULYA WARDLI (5278)","PS9","Park 27 - Bonython Park - Tulya Wardli","279165.648","6133586.501","POINT (15426950.4670703 -4152494.07684358)"
"PARK 27 - BONYTHON PARK  -  TULYA WARDLI (5278)","PS10","Park 27 - Bonython Park - Tulya Wardli","279176.668","6133600.882","POINT (15426964.3079741 -4152476.81305546)"
"PARK 01 - GOLF LINKS (5016)","PS11","Park 1- Pirltawardli","279635.892","6134175.452","POINT (15427540.3205416 -4151787.62993336)"
"PARK 01 - GOLF LINKS (5016)","PS12","","279467.524","6133851.282","POINT (15427325.8073547 -4152179.14100682)"
"PARK 01 - GOLF LINKS (5016)","PS13","","279469.272","6133842.994","POINT (15427327.6921643 -4152189.32943781)"
"PARK 01 - GOLF LINKS (5016)","PS15","","279616.167","6134042.526","POINT (15427512.4030688 -4151949.62247151)"
"PARK 01 - GOLF LINKS (5016)","PS16","Park 1- Pirltawardli","279755.45","6134133.234","POINT (15427684.6459285 -4151842.78825775)"
"PARK 10 - WARNPANGGA (5101)","PS17","Park 10 - Warnpangga","281424.625","6134439.217","POINT (15429725.8309996 -4151517.56050477)"
"PARK 10 - WARNPANGGA (5101)","PS18","Park 10 - Warnpangga","281417.739","6134452.564","POINT (15429717.8358094 -4151501.03547561)"
"PARK 11 - TAINMUNTILLA (5112)","PS19","Park 11 - Tainmuntilla","281470.465","6134147.487","POINT (15429773.1503479 -4151875.69890763)"
"PARK 12 - NORTH BANK (5491)","PS20","Park 12 - Karrawirra","281002.5234","6133587.0723","POINT (15429187.0632456 -4152547.44081147)"
"PARK 12 - KARRAWIRRA (5125)","PS21","Park 12 - Karrawirra","280891.409","6134052.522","POINT (15429065.3550746 -4151974.89304894)"
"PARK 12 - KARRAWIRRA (5125)","PS22","Park 12 - Karrawirra","280860.607","6134063.991","POINT (15429028.1869273 -4151959.96259194)"
"PARK 12 - KARRAWIRRA (5125)","PS23","Park 12 - Karrawirra","280883.515","6134073.644","POINT (15429056.3602296 -4151948.82802873)"
"PARK 13 - RUNDLE (5133)","PS24","Park 13- Rundle Park - Kadlitpina","281997.8254","6133080.4236","POINT (15430384.2439278 -4153196.26684321)"
"PARK 13 - RUNDLE (5133)","PS25","Park 13- Rundle Park - Kadlitpina","281908.343","6132998.302","POINT (15430272.8952008 -4153294.10719245)"
"PARK 13 - RUNDLE (5133)","PS26","Park 13- Rundle Park - Kadlitpina","282004.411","6133000.938","POINT (15430389.9540148 -4153293.68698117)"
"PARK 14 - RYMILL PARK (5141)","PS27","Park 14 - Rymill Park - Murlawirrapurka","282141.944","6132811.883","POINT (15430551.939305 -4153528.95792454)"
"PARK 14 - RYMILL PARK (5141)","PS28","Park 14 - Rymill Park - Murlawirrapurka","282092.516","6132831.8979","POINT (15430492.3306617 -4153503.03295633)"
"PARK 14 - RYMILL PARK (5141)","PS29","Park 14 - Rymill Park - Murlawirrapurka","282071.974","6132877.088","POINT (15430468.6286574 -4153447.15529649)"
"PARK 14 - RYMILL PARK (5141)","PS30","Park 14 - Rymill Park - Murlawirrapurka","282025.764","6132866.824","POINT (15430412.0596564 -4153458.36224541)"
"PARK 14 - RYMILL PARK (5141)","PS31","Park 14 - Rymill Park - Murlawirrapurka","281908.018","6132814.77","POINT (15430267.1649693 -4153518.59976707)"
"PARK 14 - RYMILL PARK (5141)","PS32","Park 14 - Rymill Park - Murlawirrapurka","282110.226","6132718.323","POINT (15430510.5983254 -4153642.48023035)"
"PARK 14 - RYMILL PARK (5141)","PS33","Park 14 - Rymill Park - Murlawirrapurka","282099.448","6132728.303","POINT (15430497.7633524 -4153629.95768462)"
