Title,Description,Type,Language,License,Data Status,Hosted/Linked,Update Frequency,Landing Page,Date Published,Date Updated,Contact Point,Data Granularity,Temporal Coverage From,Temporal Coverage To,Spatial Coverage,Jurisdiction,Data Portal,Publisher/Agency,Keywords,Groups,Task Division
Population Projections,"Contains projections (based on different assumptions of future fertility, mortality and migration) of the resident population of Australia, the states and territories, capital cities and balance of states, by age and sex for the base year to 2101 (for Australia) and for the base year to 2061 (for the states and territories, capital cities and balances of states). Also includes summary measures such as percentages of population in selected age groups and median ages as well as detailed notes on the assumptions used.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/aaa916c6-78fd-4a25-8571-e1069201e3cc,2013-04-14T23:46:13.476029,2017-01-23T04:02:43.133442,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"population, projections, statistics","Housing, land, planning and infrastructure",Castiel
National Regional Profile,"The National Regional Profile (NRP) presents data for 2010-14 for Local Government Areas, Australian Statistical Geography Standard regions (Statistical Areas 2, 3 and 4, and Greater Capital City Statistical Areas), States/Territories and Australia.

The NRP is designed for users interested in the socio-economic and environmental characteristics of regions - and in comparisons with similar geographies across Australia. Data are arranged under the broad themes/topics of Economy, Industry, People, and Energy and Environment.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/b57de047-9ab9-4b6a-a160-6e267e02403a,2013-04-15T00:04:39.264370,2017-01-23T03:58:45.730996,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"economy, energy, environment, industry, population, statistics","Housing, land, planning and infrastructure, Housing, land, planning and infrastructure",Castiel
Childhood Education and Care,This publication presents information on children aged 0-12 years and their families. Information presented includes: use of formal and informal care; cost and duration of care; working arrangements used by parents to care for their children; attendance at preschool programs; requirements for additional formal care or preschool; and informal learning.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/62917b30-38be-4d3d-8059-b2a3777b8cdf,2013-05-09T05:41:52.304602,2017-01-23T03:48:46.531411,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"childcare, early childhood, education, statistics","Education, skills and learning",Castiel
Value of Agricultural Commodities Produced,This publication contains final estimates of gross and local values of production of major agricultural commodities for all states/territories and Australia.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/62deba70-975a-4584-90ee-5d0b7047391b,2013-04-15T05:11:42.338787,2017-01-23T03:47:54.912342,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"agriculture, commodities, economic, production, statistics","Business, industry and trade",Castiel
Population by Age and Sex,"Contains latest available estimates by age and sex of the resident populations of areas of Australia as at 30 June. These estimates are provided for Statistical Areas Level 2 - 4 (SA2s - SA4s), Greater Capital City Statistical Areas (GCCSAs), and states and territories of Australia according to the current edition of the Australian Statistical Geography Standard (ASGS).

Estimates are also provided for Local Government Areas (LGAs).",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/112e8caf-f991-4322-afc9-2013750f4996,2013-04-14T23:35:39.355320,2017-01-23T03:46:58.920194,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"age, estimates, population, sex, statistics",Community information and citizen services,Castiel
Regional Population Growth,"Contains latest available estimates of the resident populations of areas of Australia as at 30 June in each year . These estimates are provided for Statistical Areas Level 2 - 4 (SA2s - SA4s), Greater Capital City Statistical Areas (GCCSAs), and states and territories of Australia according to the current edition of the Australian Statistical Geography Standard (ASGS).

Estimates are also provided for Local Government Areas (LGAs), Significant Urban Areas, Remoteness Areas, and Commonwealth and State Electoral Divisions.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/7a0cce18-6230-4d04-bdca-4aff5e80b62f,2013-04-12T05:48:53.157554,2017-01-23T03:46:13.567297,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"growth, population, residents, statistics",Community information and citizen services,Castiel
Recorded Crime - Offenders,"Offender statistics provide data relating to the number and characteristics of alleged offenders who have been proceeded against by police during the 12 month reference period. This publication provides a profile of alleged offenders, including their age, sex, Indigenous status, principal offence, how often they have been proceeded against by police within the reference period, as well as a count of proceedings that may result in court or non-court actions. ",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/8afe3e7c-9ed5-4e30-83a6-e8cc60e11f02,2013-04-15T05:36:57.457460,2017-01-23T03:43:13.613842,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"crime, offenders, police, statistics","Crime, justice and law",Castiel
Building Approvals,"Provides the number and value of dwelling units approved by sector (public/private) and by state, number and value of new houses, new other residential dwelling units approved by type of building, and the number and value of non-residential building jobs approved by type of building (i.e. by function such as 'retail and wholesale trade', 'offices') and value ranges. State data includes the number of private sector houses approved; number and value of new other residential dwellings by type of building such as flats, units or apartments in a building of one or two storeys; number and value of non-residential building jobs by type of building and sector; and for Greater Capital City Statistical Areas, the total number of dwelling units approved broken down by Houses, Dwellings Excluding Houses and Total Dwelling Units. Seasonally adjusted and trend estimates by state are included for the number of dwelling units and value of building approved. The quarterly value of building approved is shown in chain volume measure terms. Small geographic area data cubes are presented for Statistical Areas Level 2 and Local Government Areas. Small area data cubes will be released in an ""Additional information"" release five business days after the main publication.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/db7961ba-b823-4a0d-ad5d-d502c97dc8cb,2013-04-15T04:59:02.629995,2017-01-23T03:42:09.627177,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"building, dwelling, economic, non-residential, offices, residential, statistics","Housing, land, planning and infrastructure",Castiel
Crime Victimisation,"Summary data about victims for a selected range of personal and household offences including assault, threatened assault, personal robbery, sexual assault, household break-in, attempted break-in, motor vehicle theft, theft from a motor vehicle, malicious property damage and people's perceptions of the criminal justice system.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/e79d7992-d9d0-413a-acff-22e6e79c3224,2013-04-15T05:41:40.571416,2017-01-23T03:41:12.509486,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"assault, break-in, crime, damage, justice, robbery, statistics, theft, victims","Crime, justice and law",Castiel
Labour Force Monthly,"Summary results of the monthly Labour Force Survey containing estimates of employed and unemployed persons classified by sex, full-time/part-time status, states and territories and some age groups; and persons not in the labour force.

The monthly spreadsheets contain broad level data covering all the major items of the Labour Force Survey in time series format, including seasonally adjusted and trend estimates.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/8c6be991-72c3-484f-a0f8-c9f6aeea7836,2013-04-15T04:19:34.375503,2017-01-23T03:39:50.968903,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"civilian, economic, labour, statistics",Finance and employment,Castiel
